"Dates","EUNW GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2006-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.64,NA,NA,158.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.75,NA,NA,158.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.88,NA,NA,159.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.87,NA,NA,159.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.96,NA,NA,NA,NA,NA,NA,32.19,NA,NA
2006-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,NA,NA
2006-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.85,NA,NA,NA,NA,NA,NA,32.05,NA,NA
2006-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,NA
2006-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
