"Dates","EUNW GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2020-03-10,96.442,3.007,94.776,49.942,143.71,229.1,196.78,215.65,131.195,22.645,4.7695,3.9925,116.82,27.8,61.76,8.727,17.424,1.348,32.945,3.25,31.245,21.875,25.585,0.7301,12.822
2020-03-11,96.27,2.9755,93.348,49.851,143.835,229.65,195.12,215.4,131.5,22.58,4.7555,4.0115,115.62,27.74,61.07,8.918,17.462,1.3596,32.41,3.2135,30.895,21.925,25.92,0.7062,12.06
2020-03-12,88.498,2.911,84.5,47.1,133,225.4,197.035,212.39,128.315,19.9015,4.43,3.3645,101.86,25.375,51.67,8.025,14.662,1.12,25,2.798,25.515,19.948,24.16,0.6121,10.378
2020-03-13,88.376,2.7775,87.96,48.348,143.755,223.05,196.355,211.39,128.845,21.203,4.5665,3.8755,110.04,26.35,55.61,8.098,15.05,1.1842,29.07,3.061,27.925,19.882,24.145,0.6172,10.912
2020-03-16,84.752,2.7365,85.09,46.039,143.17,220.86,197.015,199.18,123.51,19.7275,4.299,3.5465,106.32,24.48,52.67,7.703,14.174,1.0574,26.67,2.7525,25.71,17.464,22.06,0.5655,10.442
2020-03-17,83.002,2.961,85.954,46.739,142.35,215,198.815,201.51,122.71,20.3,4.414,3.674,101.12,24.67,49.59,7.96,15.09,1.1038,27.395,2.8065,26.37,18.478,22.72,0.5698,10.984
2020-03-18,77.666,2.914,92,45.46,142.875,215.72,197.6,197,116.765,19.1805,4.259,3.414,93.61,23.17,46.87,7.686,14.958,1.0628,24.24,2.7735,23.775,16.418,21.73,0.5439,10.544
2020-03-19,79.202,3.032,78.028,44.95,143.1,218.83,200.6,200,119.905,19.1625,4.3725,3.312,90.19,23.43,44.105,7.383,14.864,1.0302,24.125,2.6685,23.48,15.924,21.785,0.5972,10.796
2020-03-20,82.328,3.025,85.15,46.145,143.645,221.9,203.98,203.12,123.46,19.97,4.487,3.474,102.6,24.81,43.615,7.965,16.102,1.0736,25.88,2.6055,24.7,16.542,21.8,0.6121,11.206
2020-03-23,81.138,2.835,83.486,44.504,141.59,222.25,204.15,202.13,122.755,18.8705,4.3295,3.0155,92.6,24.145,39.58,7.782,14.716,1.0274,23.215,2.4065,22.44,15.57,21.185,0.5857,10.558
2020-03-24,84.348,2.9965,85.25,45.063,143.275,222.24,203.47,201.63,124.35,20.285,4.626,3.1175,102.9,25.735,40.895,8.137,15.428,1.0978,26.095,2.551,24.75,17.116,22.615,0.6275,10.908
2020-03-25,85.538,3.042,88,45.05,142.87,220.93,203.63,204.3,123.475,20.775,4.6795,3.2965,102,26.075,41.79,8.334,15.884,1.1286,27.2,2.693,25.78,18.506,22.58,0.6602,10.914
2020-03-26,88.08,3.1045,89.694,46.75,144.47,224.31,201.02,208.5,126.075,21.179,4.6915,3.5465,105.6,26.03,47.67,8.646,16.562,1.2014,28.325,2.8045,26.89,19.074,22.995,0.6538,11.296
2020-03-27,86.526,2.9825,87.61,46.164,143.775,225.7,201.11,209.12,125.535,20.087,4.5145,3.305,93.39,24.765,46.03,8.175,15.484,1.1288,26.295,2.5825,25.005,17.378,21.955,0.6134,11.174
2020-03-30,87.368,3.0285,87.55,45.913,143.3,225.25,203.15,210.8,125.955,20.348,4.5745,3.3075,104,25.275,46.29,8.384,15.72,1.1346,26.175,2.507,24.805,17.244,21.45,0.6258,11.148
2020-03-31,88.388,3.1315,88.136,46.391,143.34,224.02,203.55,206,125.63,20.898,4.685,3.469,103.8,25.57,48.105,8.652,16.392,1.1894,26.62,2.65,25.58,18.01,21.785,0.631,11.41
2020-04-01,87.11,3.123,86.996,45.961,143.47,223.4,205.63,206.68,125.025,20.176,4.586,3.244,102.7,25.06,45.16,8.375,15.662,1.1448,24.785,2.4695,23.91,17.316,21.16,0.6036,11.046
2020-04-02,87.884,3.353,87.76,46.292,144.955,224.35,207.6,206.76,125.035,20.705,4.6555,3.2955,107.02,25.66,46.65,8.474,16.45,1.1846,25.655,2.5785,24.84,17.616,21.69,0.6121,11.17
2020-04-03,87.344,3.3185,88.702,46.076,143.385,223.08,208.78,206.97,124.92,20.514,4.651,3.2255,105.44,25.595,47.395,8.363,16.476,1.174,24.295,2.4035,23.67,17.122,21.475,0.6072,11.186
2020-04-06,88.956,3.3935,89.518,46.154,143.385,223.43,207.13,207.47,125.455,21.437,4.784,3.397,109.7,26.5,50.92,8.65,17.48,1.2632,26.665,2.5345,25.525,18.104,22.11,0.6549,11.834
2020-04-07,89.722,3.4115,90.266,46.591,143.31,221.48,204.05,206.04,125.61,21.818,4.8285,3.525,115.3,26.89,50.69,8.703,17.696,1.2644,27.965,2.649,26.615,19.016,22.23,0.6807,12.21
2020-04-08,90.226,3.4245,90.402,46.865,143.145,221.07,204.4,206.35,126.225,21.718,4.792,3.562,115.22,26.86,49.285,8.751,17.752,1.2344,27.965,2.6115,26.515,18.68,22.435,0.6826,11.984
2020-04-09,94.322,3.4135,92.474,47.628,143.125,222.08,203.93,208.02,128.69,21.918,4.799,3.6855,114.2,26.73,50.34,8.815,17.524,1.2302,28.895,2.648,27.24,19.444,23.15,0.6885,12.094
2020-04-14,94.6,3.322,92.284,47.445,143.1,221.32,203.25,207.01,128.64,22.06,4.856,3.701,116.56,27.275,50.63,8.796,18.1,1.2732,28.785,2.624,27.115,19.65,22.95,0.7053,12.384
2020-04-15,92.526,3.2635,90.772,47.35,142.875,221.4,205.7,206.15,128.245,21.579,4.8,3.5455,109.7,26.965,48.93,8.784,17.538,1.2926,27.385,2.536,26.03,18.85,22.39,0.6782,12.026
2020-04-16,92.244,3.251,91.618,47.679,142.865,221.88,207.95,207.27,128.425,21.969,4.9075,3.6265,113.46,27.895,47.215,8.865,17.434,1.2508,27.62,2.5105,26.155,19.016,22.435,0.6813,11.976
2020-04-17,93.072,3.244,90.772,47.965,143.065,222.18,207.05,206.85,128.255,22.117,4.912,3.6925,118.14,28.025,49.655,8.956,17.838,1.2702,27.57,2.602,26.29,18.964,22.835,0.6921,12.284
2020-04-20,92.424,3.2225,90.822,48.035,142.855,220.9,206.7,205.45,128.385,22.242,4.977,3.697,115.68,27.995,49.56,9.03,18.51,1.273,27.28,2.58,26.07,19.024,22.955,0.6967,12.43
2020-04-21,91.43,3.093,89.69,47.594,142.77,219.9,208.15,204.34,127.9,21.438,4.8045,3.5545,111.8,26.92,47.495,8.681,17.962,1.2178,26.49,2.4805,25.175,18.278,22.145,0.6453,11.798
2020-04-22,92.84,3.2085,89.7,47.78,142.615,219.13,207.78,203.66,128.51,22.114,4.946,3.716,115.36,27.62,49.34,8.894,18.394,1.2626,27.795,2.508,26.09,18.858,22.385,0.6535,12.104
2020-04-23,93.194,3.249,90.314,47.886,142.99,220.2,207.85,205.15,128.35,22.316,4.9715,3.8055,117,27.75,50.44,8.933,18.678,1.2686,27.465,2.4885,25.925,19.382,22.87,0.6763,12.208
2020-04-24,92.776,3.2435,89.692,47.628,143.095,221.43,208.43,206.6,129.19,21.943,4.903,3.6875,114.96,27.55,48.715,8.82,18.29,1.2244,23.975,2.4875,23.79,19.382,22.5,0.671,12.074
